,EEF1A1,NPM1,PTMA,TMSB4X,HNRNPA1,TPT1,PPIA,SCGB3A2,PABPC1,GNB2L1,HSP90AB1,NACA,TUBA1B,HMGA1,NCL,HNRNPA2B1,SET,GABRP,NAP1L1,HNRNPC
0,13252.92,5733.909999999999,3840.74,5815.580000000001,3521.190000000001,2913.69,2601.83,587.8299999999999,2131.9599999999996,2255.2500000000005,2213.3599999999997,1955.3,1586.3500000000001,1472.39,1689.82,1590.94,1276.8100000000004,495.85,1221.93,1301.9599999999998
1,13993.789999999999,4813.670000000001,6000.689999999999,4536.7699999999995,3220.4200000000005,3297.3999999999996,2406.6600000000003,10627.1,2418.25,2047.2599999999995,1931.81,1889.78,1404.3899999999999,1512.42,1381.83,1214.07,1345.19,3851.85,1169.64,1149.49
2,11000.52,4036.79,3277.4700000000007,4241.540000000001,2951.11,2758.9600000000005,2224.73,1770.8300000000002,2487.07,2235.7100000000005,1812.6699999999998,1763.06,1881.5600000000004,1560.6699999999998,1288.2799999999997,1269.47,1078.48,970.2499999999999,1174.78,1546.21
3,11161.8,3986.65,3802.8800000000006,5710.86,2883.6600000000003,2791.1100000000006,2889.6600000000003,2695.38,1825.8300000000002,2484.5499999999997,1884.17,1559.1199999999994,2209.5199999999995,1796.48,1274.42,1424.56,980.24,1267.5100000000002,881.0699999999998,1303.7000000000003
4,11258.34,4366.899999999999,3387.5400000000004,3292.53,2913.1600000000003,2920.1,3309.9799999999996,2347.93,1917.2699999999998,2354.0700000000006,1983.1100000000001,1556.6000000000001,2155.8200000000006,1840.2000000000003,1589.69,1660.0500000000002,1163.5700000000002,1269.1,931.47,1454.2999999999997
5,12810.689999999999,4095.5300000000007,3790.59,3974.07,3164.61,2952.1499999999996,3185.7,5865.59,2087.5000000000005,2917.86,2033.85,1653.35,2043.7900000000002,1851.8300000000002,1223.13,1377.93,1016.8000000000002,2867.36,893.2699999999998,1207.0700000000002
6,13952.369999999999,5251.969999999999,5899.440000000002,3264.55,3033.45,3028.67,2778.8100000000004,6539.7,2682.6400000000003,2214.54,2652.9900000000002,1975.74,1645.4399999999998,1823.4699999999998,1858.74,1552.0900000000001,1702.04,3051.03,1381.1699999999996,1325.63
7,15444.440000000002,5414.43,6291.380000000001,4978.96,3643.52,2990.32,2939.6299999999997,1915.9099999999999,2699.0199999999995,2643.24,1914.1699999999998,2101.35,1872.64,1940.66,1686.5200000000002,1595.99,1724.7,911.33,1461.0699999999997,1386.7200000000003
8,13168.820000000002,3642.26,5560.399999999999,8406.26,3187.85,3140.4,2686.1600000000003,5540.57,2019.2800000000002,2285.77,1662.84,2061.810000000001,1535.7900000000002,1363.7399999999998,1302.39,1360.4500000000003,1382.99,1988.6999999999998,1286.2,1021.5599999999998
9,9437.21,4385.43,3685.11,2337.3799999999997,3121.14,2608.69,2763.5,1091.21,2598.56,1963.2400000000007,2009.77,1669.87,1812.0,1530.62,1916.4400000000003,1761.34,1437.69,570.96,1291.64,1239.07
10,13198.240000000002,4684.8099999999995,3926.99,3300.36,3324.43,2906.4900000000002,3121.7699999999995,4928.900000000001,2811.79,2532.69,2014.23,1787.1499999999999,1854.03,1868.25,1685.4299999999998,1803.3400000000001,1591.13,2009.68,1310.74,1253.9700000000003
11,14218.700000000003,4842.330000000001,5074.9800000000005,4901.4800000000005,3117.84,3738.08,2677.73,2206.47,2554.9999999999995,2538.2200000000003,1485.3,1963.0500000000004,1925.0400000000002,1559.82,1029.35,1251.9699999999998,1153.03,1102.0499999999997,1230.6499999999999,1317.9500000000003
12,13555.78,6210.260000000001,5136.23,3575.75,3425.04,3148.83,3280.1000000000004,947.47,2312.86,2202.25,2272.4100000000003,1807.4700000000005,1733.9700000000005,1749.53,1636.15,1782.58,1415.2799999999997,656.4499999999999,1272.3000000000002,1490.21
13,14671.66,4682.02,5883.61,4940.790000000001,2981.5499999999997,3506.16,2540.21,3415.66,2642.5799999999995,2592.1800000000003,1572.02,1911.0499999999995,1719.4199999999998,1588.4899999999998,1005.45,1255.29,1146.6200000000001,1576.9900000000002,1171.4900000000002,1223.6899999999998
14,15082.74,5216.82,4193.13,3471.17,3715.9700000000007,3983.93,3150.24,253.45000000000002,1722.5299999999997,2190.8500000000004,1777.69,2206.81,1816.9099999999999,1353.31,1260.7699999999998,1705.1599999999999,1038.45,190.75,1282.2500000000005,1564.97
15,13394.199999999999,4348.330000000001,4054.2599999999993,4661.43,3225.36,2508.3799999999997,2247.83,1326.52,2491.7200000000003,2465.7899999999995,1896.3,1848.07,1782.23,1865.2299999999998,1196.98,1305.12,911.0200000000001,750.4900000000002,1124.89,1157.1299999999999
16,8690.57,3461.8000000000006,1843.5100000000004,2994.31,2183.92,1954.2299999999996,2120.7899999999995,1511.15,2800.4099999999994,1878.9099999999994,1959.4999999999998,1164.6799999999998,1488.74,1423.8000000000002,1612.46,1212.3400000000001,1029.42,829.2799999999999,1115.4899999999998,928.96
17,13709.019999999999,5374.959999999999,4951.820000000001,4074.97,3643.3799999999997,3140.4600000000005,2949.1399999999994,6699.95,2454.34,2323.0399999999995,1990.0100000000002,1934.9399999999996,1677.33,1703.93,1784.0,1723.1399999999999,1623.1699999999998,2650.57,1392.37,1185.5500000000002
18,12161.07,4982.06,5195.62,3986.2799999999997,3573.4500000000003,2923.8,2843.1600000000003,2424.5699999999997,2206.0100000000007,2281.4300000000003,1816.6499999999999,1870.24,1838.8999999999999,1654.9099999999999,1771.3799999999999,1943.54,1768.25,1003.42,1348.2500000000002,1359.88
19,13381.71,4345.110000000001,5652.200000000001,10303.939999999999,3237.5499999999993,3013.07,2416.82,3880.3,1959.1,2189.2100000000005,1506.77,1858.8899999999999,1582.2,1250.36,1110.85,1295.8100000000002,1092.69,1822.93,1175.1999999999998,1165.8899999999999
20,11640.02,5096.679999999999,6130.09,9049.230000000001,4244.670000000001,3622.2200000000003,2858.89,3068.66,2467.98,2345.03,1567.25,2898.8299999999995,1721.9299999999998,1131.4800000000002,1404.64,1757.45,1217.1300000000003,1465.1000000000001,1450.4299999999994,1178.52
21,15109.279999999999,5029.040000000001,4742.499999999999,5848.83,3619.4900000000002,2945.73,2661.15,3016.12,2670.7500000000014,2449.819999999999,2094.54,1974.34,1836.91,1819.19,1660.6100000000001,1583.2099999999998,1487.1,1375.6799999999998,1463.2099999999998,1154.8899999999999
22,14818.37,5349.95,4268.179999999999,3237.8999999999996,3367.52,3259.1000000000004,2965.2799999999997,1400.7200000000003,2352.9799999999996,2403.2699999999995,2171.5899999999997,1870.9600000000005,2025.18,1826.53,1804.6,1414.31,1480.9499999999998,737.3,1309.1999999999998,1237.94
23,2580.1499999999996,1555.05,7406.379999999999,1231.9499999999998,861.25,1073.3999999999999,845.88,695.68,1560.1399999999992,811.6,554.3100000000001,477.13,320.13,244.41,368.0,597.4699999999999,506.33000000000004,490.52,621.75,852.0900000000001
24,22175.0,5457.3099999999995,3336.5699999999997,5203.549999999999,2593.8500000000004,5337.660000000001,3678.7,360.8,1641.1300000000003,2804.5700000000006,1612.64,1979.5,2427.2099999999996,1134.19,643.4,813.2700000000001,864.34,175.38,1389.27,1685.5499999999997
25,12321.78,4363.050000000001,3565.99,3834.08,2949.9999999999995,3179.2899999999995,2838.6000000000004,664.94,1701.8400000000001,2232.2599999999998,1960.71,2038.1099999999997,1769.2799999999997,1580.6899999999998,1163.48,1344.6399999999999,908.99,477.34000000000003,1024.1200000000001,1413.0199999999998
