,HMGA1,LIN28A,TERF1,ZFP42,ZSCAN10,HMGA2,SALL4,OTX2,ETV4,NR6A1,LIN28B,HES3,ZIC3,NANOG,ZNF93,FOXH1,MYCN,ZNF730,PRDM14,SOX11
0,1472.39,604.8299999999998,372.52,1.45,124.57,116.87,50.82,12.410000000000002,127.8,121.6,59.59,11.9,25.89,29.7,6.550000000000002,33.59,40.83,29.39,9.11,18.25
1,1512.42,719.11,548.0699999999998,120.5,124.65,101.83,61.60999999999999,23.39,160.5,46.59,98.49,87.72,74.2,294.24,62.64,103.33,42.43,39.74,34.90000000000001,38.46
2,1560.6699999999996,582.86,324.28,19.19,149.76000000000005,111.52,59.89,71.03000000000002,94.98,125.4,51.61,48.33,47.42,50.72,46.75,45.55,63.13,14.0,8.18,18.77
3,1796.48,603.57,497.83,96.13,162.27999999999997,124.68,50.65,22.17,162.82999999999996,63.96,59.97,115.94,51.24,158.79999999999995,45.67,70.62,56.77,18.9,39.83,26.91
4,1840.2000000000005,623.28,494.42000000000013,136.03,178.79999999999995,101.78,66.86999999999999,73.53,98.88,73.22999999999998,62.68,35.43,62.78,112.58,43.36,38.39,66.68,20.22,39.7,15.77
5,1851.83,650.6,455.5100000000001,126.18,201.4,109.15,61.790000000000006,15.98,198.71,47.62000000000001,61.7,119.38,61.58,201.97,48.1,94.03,35.58,29.6,54.27,29.36
6,1823.47,788.49,871.4100000000002,87.53,88.23,94.05,66.55,13.63,123.18,83.56,62.68,30.43,50.4,68.36999999999999,45.36,44.77,31.77,30.04,14.37,14.18
7,1940.66,1035.66,766.91,164.02,111.57000000000002,112.01,113.39,152.98000000000005,60.97000000000001,96.55,97.02,136.32,63.81,55.16,80.49000000000002,69.25,71.52,54.09,48.6,37.18
8,1363.7399999999998,765.97,833.7799999999999,86.99,111.35,152.04999999999995,72.38,48.21,124.96,64.31,116.7,191.42,83.85,182.81,64.97,79.53,39.4,61.7,41.64,52.57
9,1530.62,672.16,761.56,130.03,125.12,124.44,71.62,76.61,55.17,71.28000000000002,63.03,44.29,41.33,74.6,66.28,58.32,50.39,32.95,23.02,22.52
10,1868.25,986.99,1020.89,153.57,136.29,95.23,110.49,158.97,54.88,80.04,96.72,60.37,105.51,65.25,67.64,103.67,60.34,50.39,62.43,31.76
11,1559.82,908.83,568.58,121.22,82.29000000000002,94.19,101.91,230.26,21.46,46.3,69.24,151.88,93.89,68.67,60.23,62.8,44.84,20.18,32.46,36.69
12,1749.53,801.94,637.19,94.01,125.9,115.29,71.46000000000002,37.3,89.68,96.59,58.75,37.02,47.17,54.23,52.79,34.53,49.73,39.38,18.94,23.14
13,1588.4899999999998,975.34,568.0500000000002,122.83,90.78,80.71000000000002,116.8,189.94000000000003,25.3,41.28,67.78,180.48,115.41,83.69000000000003,54.66,85.85,48.97,31.86,40.79,21.85
14,1353.31,513.19,330.26,94.12,128.69,122.44,47.4,24.75,120.58,92.6,66.03,27.17,8.08,52.84,55.32,45.4,37.22,42.37000000000001,8.26,20.31
15,1865.23,718.49,396.79,123.52,135.82999999999998,104.78,72.53,61.47,99.59,65.45,64.08,68.3,48.53,54.45,64.36,42.94,63.19,33.31,29.87,30.67
16,1423.8000000000004,564.7,381.1,75.84,129.66000000000003,76.28999999999998,70.91,39.7,101.73,84.44999999999997,47.62,21.78,26.72,94.38,61.48,59.34,35.16,37.31,27.09,9.39
17,1703.93,1068.41,967.38,151.68,123.07999999999998,102.72,119.53000000000002,126.27,59.3,88.74,105.58,100.41,116.18,41.98,64.55000000000001,71.16,65.36,51.36,43.36,45.05
18,1654.91,930.18,709.6999999999998,165.12,113.3,139.70000000000002,108.94,161.34,63.35000000000001,92.88,97.66,85.87,94.77,31.9,70.82,56.58,55.25,39.290000000000006,37.8,48.73
19,1250.36,751.3900000000001,438.32,42.88,123.46,141.87,88.11,70.62,129.12,86.25000000000001,93.46,202.33,155.07,124.55,15.86,62.39,57.08,33.2,36.31,48.61
20,1131.4800000000002,935.36,705.1199999999999,115.68,122.46,111.47,72.93,140.56,59.14,53.18,46.27,115.59,100.28,40.89,55.88,67.23,75.92,37.94,21.96,47.68
21,1819.19,993.13,634.9100000000002,136.73000000000002,114.59999999999998,124.81000000000002,99.59,130.59,68.71000000000001,94.81,98.9,100.49,82.0,64.7,69.97,50.97,59.01,55.33000000000001,35.46,39.62
22,1826.53,932.58,645.25,129.93,122.98,119.32,94.11,116.92000000000002,70.29,92.75,78.78,88.68,49.21,61.15,59.23,60.92,60.77,47.65000000000001,36.83000000000001,31.47
23,244.41,236.12,667.6600000000002,15.39,52.45000000000001,20.12,13.4,18.3,14.9,24.24,6.08,12.41,6.49,9.91,14.759999999999998,18.08,6.28,4.799999999999999,5.98,9.91
24,1134.19,701.39,350.68,127.96,43.3,64.53999999999999,74.29,257.18,25.52,39.36,66.9,60.95,36.52,45.86000000000001,71.85000000000002,22.81,32.52,47.47,18.700000000000006,17.45
25,1580.6899999999996,533.69,336.74,49.28,152.52000000000004,127.7,56.23000000000001,24.83,116.83,100.86,44.93,20.61,17.23,49.6,39.24,36.48,49.53,40.75,9.96,19.85
26,1975.19,982.27,1065.65,141.85,180.23,116.83000000000004,104.33,87.10000000000002,75.62,107.84000000000002,91.72,63.48,66.74,75.12,82.97,60.79,65.78,59.79,32.74,33.38
27,1842.7200000000007,744.1899999999998,634.3399999999998,121.11,137.65,84.40000000000002,81.46000000000002,50.25,75.32000000000002,40.61,57.83,75.19,77.92,70.89,52.11,68.82,55.34,25.32,41.7,13.7
28,1207.39,573.44,472.83,76.49000000000002,108.34,85.27999999999999,48.99,99.94,61.13999999999999,39.03,22.92,50.88,29.31,50.37000000000001,39.14,67.0,25.57,18.26,26.39,22.6
29,1744.86,768.28,596.8699999999999,112.91,100.61,98.79,56.32,28.51,109.76,71.84000000000002,68.87,31.71,64.63,118.53000000000002,57.28,39.3,50.44,34.2,14.37,17.47
30,1708.77,853.0,662.3699999999999,92.27,129.20999999999998,128.07999999999998,86.95000000000002,84.71999999999998,91.47,93.15,91.45,84.25,54.17,92.08,68.04,68.68,57.59,34.92,30.69,27.06
31,1547.7299999999998,727.9599999999998,507.63000000000005,131.99,108.72,149.99,74.83000000000001,97.57,76.58000000000001,84.61,84.63,50.17,33.03,44.81,66.08,43.03,51.7,44.39,15.72,50.69
32,1243.63,681.36,722.37,104.39,106.05,78.03999999999998,88.4,92.19,32.14999999999999,51.76,58.11,70.22,58.45,95.48,61.7,72.07,44.15,32.690000000000005,36.34,12.51
33,1553.8000000000004,1062.93,597.91,128.81,106.92,134.34,117.22,196.11999999999995,47.73,104.14,98.01,109.67,84.97,22.96,66.45,53.91,52.39,59.43,23.33,64.2
34,1669.84,905.18,829.5300000000002,121.57,139.12,93.8,88.64,72.13,71.57,72.89,73.19,89.78,66.63,65.26,57.47,75.39,48.21,45.94000000000001,34.800000000000004,33.62
35,1383.25,754.81,274.55,167.76,51.43000000000001,44.87,71.06,255.28000000000003,20.47,33.17,40.13,86.01,55.63,40.84,59.97,57.65,37.71,25.28,28.9,7.43
36,1665.2200000000007,850.28,942.96,164.1,118.54,122.0,96.51,99.31000000000002,63.55000000000001,96.35,100.2,38.6,60.14,55.43000000000001,70.27,46.73,43.77,43.71,30.49,26.8
37,1685.4300000000005,834.4,719.5,109.48,115.61,101.23,78.53999999999998,52.39,75.97999999999998,84.79,64.8,62.98,66.23,55.80999999999999,56.99,46.08,56.76,44.81,22.06,18.18
38,1697.84,573.26,309.37,85.44,167.77999999999997,88.88999999999999,70.52,115.61,81.42999999999998,76.27000000000002,58.98,97.56,80.48,47.54,1.5699999999999998,61.26000000000001,55.91,35.160000000000004,21.83,23.33
39,1890.81,754.16,419.28,103.59,155.70999999999995,112.88000000000002,66.39,42.73,129.65,61.67,73.31,156.2,82.44,155.0,51.09,107.06,58.81,30.65,51.41,32.81
