,HMGA1,LIN28A,TERF1,ZFP42,ZSCAN10,HMGA2,SALL4,OTX2,ETV4,NR6A1,LIN28B,HES3,ZIC3,NANOG,ZNF93,FOXH1,MYCN,ZNF730,PRDM14,SOX11,label
169,1587.27,1044.94,662.1000000000001,126.73,83.93999999999998,111.35,112.41,177.75999999999996,34.46,80.75,117.38,126.61,116.01,69.33000000000001,71.73,62.34,51.11,45.06,47.76,41.36,1
339,1540.1799999999996,634.57,433.43,108.65,176.4,95.04000000000002,77.64,60.28,103.57,78.27,68.3,83.13,88.69,66.72,54.03,51.11,75.56,27.06,22.7,21.3,1
302,533.02,793.22,626.9200000000002,89.16999999999999,129.4,89.97999999999998,54.63,120.67999999999998,39.58,37.59,35.44,75.85,50.21,37.75,42.81,42.8,69.11,30.4,14.46,33.4,1
211,1594.1900000000005,875.67,551.73,121.75,124.02,128.75,82.71000000000002,87.90999999999998,104.45000000000002,97.54999999999998,96.77,52.48,37.87,82.76,74.95,45.27,49.29,48.83,19.6,36.43,1
212,2042.22,1054.12,995.06,138.62,134.69,94.38,131.21,169.79,42.0,83.16999999999999,86.71,116.0,107.63,64.4,73.61,84.16,55.1,40.33,90.62,29.92,1
204,1464.66,927.07,808.9200000000002,131.56,123.36,114.16,88.94,129.35,67.68,58.45,56.58,123.29,156.67,48.09,60.25,67.75,65.73,44.11,22.09,45.76,1
230,1787.38,949.99,773.34,135.54,124.56,114.32000000000002,101.0,99.81,77.25,110.88,85.76,97.18,138.81,76.66,70.26,65.92,56.96,51.9,40.43,32.69,1
117,1703.93,1068.41,967.38,151.68,123.07999999999998,102.72,119.53000000000002,126.27,59.3,88.74,105.58,100.41,116.18,41.98,64.55000000000001,71.16,65.36,51.36,43.36,45.05,1
336,2083.25,850.1700000000002,739.02,127.69,122.65999999999998,109.11,102.92,55.93,107.26999999999998,84.9,76.43,88.89,95.55,73.69,63.77,66.73,76.6,35.76000000000001,27.87,32.9,1
150,1455.11,722.61,555.1899999999998,122.27,96.57999999999998,155.15999999999997,65.16,39.32,130.69,82.93999999999998,100.63,94.17,64.22,178.41000000000003,53.35,68.41,47.25,34.28,26.19,49.78,1
197,1595.19,943.43,997.31,137.4,131.36,99.6,98.17,83.01999999999998,68.38,63.35,78.82,83.04,101.72,60.54,58.96,61.49,53.28,42.76,50.69,32.14,1
250,1680.7000000000005,832.35,352.67,155.75,94.9,49.24,82.12,165.39,25.34,41.95,34.26,120.68,54.13,41.05,57.2,59.1,43.58,30.440000000000005,24.59,18.1,1
80,1503.0,0.01,15.19,0.0,0.0,55.46,0.13,0.0,22.36,0.44,0.0,0.05,0.0,0.0,2.4,0.07,0.0,0.45,0.0,0.5,0
274,1698.29,791.52,558.04,100.1,101.45,104.83,94.17,113.95,47.99,62.07,83.42,63.58,68.27,71.57,63.55,49.55,57.79,36.14,29.43,44.19,1
306,1797.1600000000005,1065.69,612.24,130.27,97.49,154.93,99.3,228.34,58.78,103.63,78.25,129.2,49.95,22.82,58.96,55.6,64.71,53.6,30.28,59.23,1
312,1513.15,860.8399999999998,482.48000000000013,106.99,141.34,114.34999999999998,79.06,102.36,80.45,82.49,76.03,87.81,69.08,50.21000000000001,53.3,59.15,57.14,34.38999999999999,20.86,33.98,1
165,1869.64,1101.93,921.61,109.64,123.88,96.48999999999998,112.77,113.31,82.97999999999998,96.62000000000002,90.28,89.22,190.44,55.12000000000001,62.81,73.06,62.08,37.37000000000001,42.6,32.36,1
376,1432.7300000000002,626.15,478.85,111.81,115.23999999999998,86.78,62.99000000000001,45.14000000000001,119.63,53.25,73.28,160.45,66.32000000000001,140.1,51.01,53.32,52.24,27.930000000000003,31.72,22.65,1
101,1512.42,719.11,548.0699999999998,120.5,124.65,101.83,61.60999999999999,23.39,160.5,46.59,98.49,87.72,74.2,294.24,62.64,103.33,42.43,39.74,34.90000000000001,38.46,1
106,1823.47,788.49,871.4100000000002,87.53,88.23,94.05,66.55,13.63,123.18,83.56,62.68,30.43,50.4,68.36999999999999,45.36,44.77,31.77,30.04,14.37,14.18,1
307,1747.94,800.0699999999998,393.52,122.58,81.58,88.58000000000001,70.73,133.57000000000002,55.68,82.82999999999998,58.8,37.67,37.09,47.28,65.07,45.5,47.11,27.53,20.94,23.5,1
271,1966.34,817.47,529.75,77.28,97.12,73.23,83.79,21.969999999999995,144.31,45.00000000000001,52.74,48.83,72.21000000000002,185.88,48.7,77.43,33.5,28.590000000000003,18.28,8.38,1
17,273.4,0.01,15.95,0.0,0.0,5.96,0.12,0.03,2.66,0.07,0.01,0.13,0.0,0.0,2.63,0.05,0.0,0.26,0.0,0.25,0
399,1920.69,829.1800000000002,533.73,49.62,102.34,107.72,97.28,131.18,41.18,84.69,64.3,100.76,93.71,86.06,56.01,53.14,50.7,35.26,54.86,20.59,1
345,1507.91,729.75,624.04,117.26,114.7,117.45,55.54,12.749999999999998,145.65,54.25,64.6,69.13,54.04,185.04,49.27,65.4,39.29,47.42999999999999,27.97,35.84,1
352,1622.7,658.85,534.34,84.11,172.95999999999995,83.59,79.67000000000002,60.95,81.97999999999998,84.73,80.13,107.38,111.16,72.41,58.540000000000006,60.73,57.96,41.69,34.7,25.78,1
171,1598.12,819.66,611.3100000000002,112.33,154.92999999999995,82.22999999999998,61.95,18.58,168.95000000000005,33.78,69.35,92.89,69.15,221.64,55.8,111.82,43.32,42.22,40.99,29.77,1
87,421.8,0.02,19.15,0.11,0.03,7.12,0.44,0.04,1.09,0.18,0.02,0.14,0.06,0.04,0.83,0.26,0.04,0.16,0.1,0.01,0
228,1611.57,719.8399999999998,305.1,72.9,97.64,150.57,87.0,76.96,110.41,95.17,86.56,32.61,28.06,81.05000000000003,63.71000000000001,43.39,52.18,48.68,12.77,51.37,1
82,1008.0,0.03,15.59,0.0,0.0,27.52,0.03,0.0,24.26,0.25,0.0,0.0,0.0,0.0,5.94,0.06,0.0,0.83,0.0,0.26,0
314,1857.9,934.21,890.73,137.3,141.06,96.76000000000002,94.37,82.69000000000003,76.38,79.22,72.6,87.47,89.07000000000002,76.07,63.21,68.53999999999999,57.19,47.95,39.37,35.81,1
154,1731.4799999999998,644.31,685.0799999999998,157.01999999999995,182.51,96.31999999999998,79.63,52.8,98.57,71.59,60.46,57.57,49.0,92.17,51.97000000000001,33.52,93.43,25.12,25.4,19.79,1
292,1142.42,470.38,549.9599999999998,101.19,166.87,49.03000000000001,50.35,65.41,51.85000000000001,23.49,30.02,69.09,74.75,55.83,33.96,96.65,49.23,6.7799999999999985,51.34,14.82,1
181,1574.85,716.0,393.69,103.31,78.53000000000002,75.59,71.71000000000002,101.87,64.61,68.29999999999998,53.2,55.25,37.14,42.38,58.94,42.98,50.88,30.4,17.57,22.38,1
144,1618.35,759.29,709.4599999999998,128.14999999999998,140.44,141.31,83.89,52.0,102.74,112.7,75.6,32.32,40.93,57.02,56.19,32.07,61.04,38.86,17.700000000000006,29.86,1
366,1443.0700000000004,799.39,721.9900000000004,112.98,111.9,133.11999999999998,90.41,77.78999999999998,78.97999999999998,95.05,90.63,69.57,77.32,38.77,60.17,45.94,46.39,43.25,27.46,34.61,1
225,1453.2900000000004,740.16,611.6800000000002,117.62,122.42999999999998,80.88000000000002,66.99000000000001,23.47,135.70999999999998,40.06,93.21,97.55,69.24,256.96000000000004,65.86,94.32,39.83,35.04,39.95,28.07,1
8,524.3,0.0,16.53,0.0,0.02,11.97,0.05,0.0,12.67,0.28,0.0,0.0,0.0,0.0,1.54,0.14,0.0,0.28,0.0,0.23,0
239,1896.43,880.76,813.6899999999998,131.3,112.64,86.81999999999998,85.26,51.81,81.86,62.29,71.09,73.77,115.68,73.15,56.59,52.6,59.92,43.12,27.61,25.68,1
201,1601.02,1022.68,616.22,136.98000000000002,109.44,107.67,109.7,180.26,64.78999999999999,84.38999999999999,93.49,112.63,67.5,54.7,79.88,69.67,56.76,48.58,37.52,46.06,1
151,1812.52,617.0899999999998,655.81,66.03,162.78,87.74,78.13000000000002,79.92999999999998,90.07,59.09,52.77,64.41,108.37,87.28,6.7,50.01000000000001,58.81,21.19,42.12,16.76,1
286,1533.37,756.1099999999999,604.94,133.65,140.25,110.25,84.42999999999998,53.53999999999999,83.00999999999998,85.62,74.75,56.69,65.64,54.22000000000001,66.65,47.93,67.39,29.43,24.99,27.07,1
25,237.7,0.06,27.5,0.04,0.04,6.18,0.02,0.0,6.3,0.25,0.0,0.0,0.0,0.0,0.72,0.75,0.0,0.13,0.0,0.03,0
382,968.4,904.38,427.91,182.49,42.29999999999999,56.3,52.6,245.1,15.21,17.4,46.18,47.21,45.50999999999999,29.77,59.28,29.9,27.15,30.78,18.53,9.0,1
368,1784.76,935.4,664.4799999999998,116.29,102.3,144.60000000000005,136.03,210.61,34.17,125.51,103.75,89.29,70.11,50.13,58.25,47.36,55.48,39.34,40.82,53.85,1
59,1867.0,0.02,16.57,0.0,0.01,52.58,0.05,0.02,25.5,0.15,0.0,0.0,0.0,0.01,3.54,0.16,0.0,1.27,0.0,0.38,0
295,1543.4099999999994,776.0699999999998,721.3999999999999,123.97,116.0,107.45,84.06000000000002,49.72000000000001,80.19,82.03,84.3,61.6,78.01,55.26,57.0,53.09,66.79,26.33,32.300000000000004,16.97,1
372,1578.58,849.1700000000002,765.5400000000002,47.5,122.28000000000002,116.48,82.23999999999998,68.22,79.67999999999998,92.06000000000002,74.63,44.2,66.74000000000001,43.13,56.84,52.75,47.24,49.0,25.790000000000006,19.2,1
