"","X","HES3","LIN28A","L1TD1","S100A6","DPT","VASH2","MTRNR2L11","EPCAM","IL1R1","FAP","COL3A1","FN1","COL6A3","TWIST2","LRRN1","GALNT15","TRIM71","CLEC3B","TDGF1","MTRNR2L12","DPPA4","PTX3","RP11.641D5.1","SOX2","APOD","ADH1B","ZFP42","MTRNR2L2","SEMA6A","LOX","TGFBI","MATR3","SCGB3A2","SMIM3","GABRP","TUBB2B","POU5F1","LAMA4","RPL21P75","SERPINE1","CAV1","PTPRZ1","MTRNR2L6","CEBPD","SNAI2","CALB1","ESRP1","MAL2","HHLA1","WISP1","PTGS1","DKK1","SRGN","MTRNR2L8","SAA1","FABP5P7","CD248","MMP1","MMP3","NNMT","NANOG","EMP1","HOXC10","NTS","DCN","USP44","TMEM119","RGCC","ZIC2","ITGBL1","ABHD12B","OTX2","SNURF","THBS1","RBPMS2","CRABP1","UBE2Q2P6","ANPEP","CLDN6","ZSCAN10","NPIPA7","MT2A","MT1L","MT1E","CDH3","CDH1","CD68","MTRNR2L1","CFD","FUT3","SPINT2","RPL41P1","DNMT3B","CXADR","U2AF1","MIF","GGT5","LGALS1","POLR2F","SLC7A3"
"1","GTEX-111VG-0008-SM-5Q5BG",0,0,1.87,3427,31.02,0.05,0,0.3,227,106.4,2008,21520,961.9,378.3,0.03,69.16,0,17.26,0,2.47,0,995.2,2.77,0,59.35,3.88,0,0,0.11,282.2,5107,5.8,0,80.7,0,1.72,0.33,214.7,1.75,6307,985.3,0.02,0.17,149.4,176.2,0.04,0.05,0.63,0,102.5,204.9,1288,216.8,4.46,72.92,0.31,380.9,682.3,538.9,459.2,0.02,389.3,75.91,0,305.5,0.05,126.9,125.8,0.04,285.8,0.04,0,1.05,2846,0.63,0,0,858.3,0,0,0.23,10730,792.5,1376,0.72,0.63,187.1,0.09,36.41,0.08,1.32,0,3.44,0.06,1.68,3.44,74.36,6832,0.1,0
"2","GTEX-111YS-0008-SM-5Q5BH",0,0,0,3630,9.26,0.1,0,0.96,292.5,137.2,3537,20680,1151,135.6,0,78.82,0,162.4,0,2.91,0,6506,4.18,0.15,135.8,221.5,0,0,0.27,204.8,8348,4.86,0,126,0.01,0.77,0.14,493.2,2.64,3939,765.5,0.03,0.15,246.8,223.6,0.21,0.12,0.17,0,103.4,186.5,634.3,455.4,1.76,40.12,0.26,764.5,22.86,4.86,719.9,0.01,309.9,88.07,0.35,421.1,0.28,163.1,11.57,0,247.1,0.41,0,1.19,1790,0.25,0,0.12,591.4,0.06,0,0.92,4516,482.9,902.5,0,0.34,146.5,0.07,130.8,0.2,2.02,0,1.96,0.02,1.2,9.39,344.9,4857,0.12,0.02
"3","GTEX-1122O-0008-SM-5QGR2",0,0,2.2,3976,40.82,0.17,0,0.09,162.1,52,1017,24620,1412,164.1,0,36.33,0,28.32,0,1.31,0,495.1,3.83,0,57.03,0.75,0,0,0.24,436.4,3837,5.15,0.06,61.4,0,1.72,0.12,160,0.8,5794,1351,0.38,0,87.77,171,0.04,0.03,0.08,0,46.31,150.6,2039,399.6,0.79,74.63,0.81,677.2,23.03,88.76,320.2,0,353.9,91.93,0,305.8,0.03,68.31,75.2,0.04,322.8,0.1,0,0.18,4570,0.72,0,0,862,0,0,0.23,8117,773.3,1097,0.04,0.02,207,0,36.44,0,0.72,0,4.01,0.06,0.48,1.86,29.28,8205,0.12,0
"4","GTEX-1128S-0008-SM-5Q5DP",0,0,0.02,3547,180.1,0.22,0,0,394.8,140.4,4930,28890,1169,304.5,0.02,85.02,0.17,234.5,0,3.14,0,7316,5.64,0,393,426.5,0.03,0,0.25,231.8,2254,5.79,0.08,92.86,0.09,2.47,0.37,380.4,1.5,1226,462,0.01,0.06,199.5,219.6,0.16,0.34,0.69,0.05,182.3,231.2,687.7,139.6,2.7,176.9,0.2,1123,12.85,14.74,647.3,0.02,456.2,53.4,0,720.8,0.2,549.7,104.4,0.05,176.2,0.35,0,1.35,1907,0.52,0,0.18,605.3,0.12,0,0.14,1512,101.8,464,0.15,0.46,163.7,0.06,649.8,0.11,0.89,0.5,2.33,0.02,0.91,4.72,359.9,5083,0.22,0.02
"5","GTEX-113IC-0008-SM-5QGRF",0,0,0.64,4775,228.1,0.24,0,0.15,322.2,335.5,1626,39810,611.7,365.7,0.03,113.7,0,34.17,0,1.79,0,1232,3.74,0.05,318.6,91.15,0,0,0.29,264.3,3942,5.57,0,68.31,0,0.96,0.41,241.2,1.92,3162,755.6,0.03,0.16,210.9,207.7,0.04,0.02,0.26,0,178.4,152.6,1207,142.9,2.46,230.5,0,465.6,58.65,94.42,753.2,0,312.5,71.89,0,656.8,0.6,460.9,183.2,0.07,449.3,0.18,0,1.1,2727,0.19,0.14,0,562.9,0.23,0,0.81,3310,236.1,560,0.06,0.13,191.4,0,154.7,0,3.06,0.7,2.24,0.04,0.83,4.58,195.2,6762,0.5,0
"6","GTEX-113JC-0008-SM-5QGR6",0,0,0.03,3399,372.1,0.06,0,0.1,156.7,114.8,2062,24410,636.5,302.7,0,83.15,0.01,445.9,0,1,0,5652,2.82,0,274,75.41,0,0,0.29,465.2,1097,5.75,0,78.2,0,3.98,0.29,214.9,1.19,7326,971.5,0.05,0.08,125.3,186.8,0,0,0.09,0,126.4,138.6,1078,542.4,0.57,434.2,0,762.2,27.65,2.6,472.3,0,455.1,68.54,0,532.8,0.02,200.1,571.5,0,800.3,0.1,0,0.31,4267,0.21,0.26,0.12,487.7,0.06,0.06,0.51,3008,145.8,509.1,0,0.12,140.5,0,333.5,0,3.73,0.68,2.68,0.07,1.03,3.92,275.4,5785,0.27,0
"7","GTEX-117XS-0008-SM-5Q5DQ",0,0,0,3954,119.4,0.15,0,0.16,239.2,168.6,3837,29460,1080,294.8,0,66.66,0,53.75,0,3.05,0,2375,6.6,0.07,125.5,123.5,0,0,0.23,307.1,2208,5.64,0.15,62.11,0,1.58,0.28,280.4,1.26,3055,511.6,0.03,0.08,243.1,133.8,0.13,0.04,0.06,0,194.9,174.2,703.4,148.6,1.97,438.9,0.1,434.7,21.28,42.51,629,0,266.9,73.66,0,658.6,0.53,336.8,365.1,0.04,409.4,0.3,0,1.48,2289,0.51,0,0,555.4,0.12,0,0.5,2662,186.4,535.3,0.12,0.21,133,0.03,128.9,0.12,0.77,1.01,2.23,0.05,1.26,0.39,226.1,6227,0.2,0.11
"8","GTEX-117YW-0008-SM-5QGRD",0,0,0,3429,257.4,0.07,0,0,283.1,159.2,4083,31580,873.9,418.2,0,121.7,0,84.5,0,1.48,0,3026,4.81,0,267.6,116.5,0,0,0.22,457.7,2112,5.09,0,78.56,0,2.01,0.45,276.3,1.84,3736,506.6,0,0,234.2,151.5,0.12,0.1,0.06,0,344.2,207.5,700.1,134.5,1.39,333.1,0,570.5,3.42,24.17,745.6,0.04,358.6,80.33,0,707.5,0.39,410.4,491.7,0,876.3,0.35,0,0.83,3094,0.65,0,0.92,484.7,0.21,0,0.68,2159,113.8,426.3,0.04,0.13,142.6,0,412.5,0,1.79,0,2.1,0.02,0.94,2.83,354.2,6120,0.25,0
"9","GTEX-1192W-0008-SM-5QGRE",0,0,1.89,3896,8.3,0.06,0,0.16,309.7,120,2729,33100,1303,249.8,0.02,94.75,0,320,0,1.94,0.02,2966,4.65,0.05,80.12,36.78,0,0,0.4,250,6593,5,0,66.66,0.06,1.58,0.07,371.7,0.95,2799,962.2,0,0.17,263.3,237.3,0.08,0.12,0.59,0,67.05,167.6,1443,448.5,5.68,48.51,0,796.7,21.9,47.14,698.7,0,296.5,94.31,0,556.2,0.47,206.4,103,0,302.9,0.03,0,1.36,2640,0.18,0,0.67,720.7,0.07,0.02,0.44,4907,449.9,869.4,0.17,0.23,207.2,0.04,86.13,0,1.19,0,2.59,0.02,1.76,2.33,282.5,6838,0.19,0
"10","GTEX-1192X-0008-SM-5Q5B7",0,0,1.07,4569,6.32,0.16,0,0.06,263.8,124.6,2980,20500,1075,512.4,0.04,199.6,0,271.1,0,2.29,0.03,5010,4.69,0,120.4,144,0,0,0.26,201,5528,4.95,0,65.7,0.02,1.26,0.2,315.7,0.89,1626,932.4,0.03,0.07,314.2,212.1,0.06,0.24,0.27,0,154.2,160.9,1128,217.3,1.39,104.4,0.36,521.9,59.18,149.9,736,0.02,303.5,94.54,0,457,0.61,169.7,93.19,0.03,283.7,0.17,0,2,1583,0.25,0,1.05,670.8,0.11,0,0.34,6340,446.8,1288,0.51,0.31,198.6,0.4,79.37,0.1,0.7,0,3.33,0.05,1.25,8.31,157.5,6102,0.17,0.04
