"","X","HES3","LIN28A","L1TD1","CA14","F11R","VASH2","MTRNR2L11","MYCN","EPCAM","ADD2","H3F3AP4","LRRN1","TRIM71","TDGF1","MTRNR2L12","DPPA4","RP11.641D5.1","SOX2","ZFP42","ADCY2","SERF1B","MTRNR2L2","SEMA6A","MATR3","PCDH1","SCGB3A2","GABRP","RP11.423H2.1","TUBB2B","GCNT2","POU5F1","LIN28B","PKIB","RPL21P75","PTPRZ1","MTRNR2L6","CNTNAP2","IDO1","TPD52","CALB1","ESRP1","MAL2","FAM84B","HHLA1","FOXH1","CTSV","NR6A1","AIF1L","FGFR2","MTRNR2L8","FABP5P7","FGF23","NANOG","DDX47","KRT8","PMEL","NTS","USP44","CLDN10","ZIC2","ABHD12B","OTX2","VRTN","SNURF","GABRB3","SPINT1","MYEF2","RBPMS2","CRABP1","UBE2Q2P6","CLDN6","ZSCAN10","MTRNR2L4","NPIPA7","PRSS8","CDH3","CDH1","MTRNR2L1","RND2","DSG2","FUT3","AP1M2","SPINT2","CYP2S1","NLRP2","RPL41P1","DNMT3B","WFDC2","SALL4","CXADR","CBS","U2AF1","CECR2","MIF","POLR2F","RP11.706O15.1","MAGED4B","MTRNR2L10","SLC7A3","ZIC3"
"1","GTEX-111VG-0008-SM-5Q5BG",0,0,1.87,0.08,0.71,0.05,0,0,0.3,0.01,17.96,0.03,0,0,2.47,0,2.77,0,0,0.03,0.3,0,0.11,5.8,0.24,0,0,0,1.72,0.02,0.33,0,0.38,1.75,0.02,0.17,0.01,0.05,0.19,0.04,0.05,0.63,0.4,0,0,0.98,0.09,0.06,0.09,4.46,0.31,0,0.02,0.52,2.48,0.53,0,0.05,0.14,0.04,0.04,0,0,1.05,0.32,0.77,0.56,0.63,0,0,0,0,0.11,0.23,0.54,0.72,0.63,0.09,0.27,0.64,0.08,0.32,1.32,0.48,0.01,0,3.44,0.09,0,0.06,0.47,1.68,0.01,3.44,0.1,0,0.08,0.25,0,0
"2","GTEX-111YS-0008-SM-5Q5BH",0,0,0,0.13,0.99,0.1,0,0,0.96,0.01,16.29,0,0,0,2.91,0,4.18,0.15,0,0,0.37,0,0.27,4.86,0.22,0,0.01,0,0.77,0,0.14,0,0.18,2.64,0.03,0.15,0.01,0.04,0.5,0.21,0.12,0.17,0.12,0,0.22,0.32,0.15,0.27,0.01,1.76,0.26,0,0.01,0.56,6.63,0.98,0.35,0.28,0.15,0,0.41,0,0.01,1.19,0.09,0.39,0.11,0.25,0,0.12,0.06,0,0.21,0.92,0.53,0,0.34,0.07,0.59,0.2,0.2,0.22,2.02,0.2,0.01,0,1.96,0.19,0.07,0.02,0.24,1.2,0.03,9.39,0.12,0.06,0.19,0,0.02,0.03
"3","GTEX-1122O-0008-SM-5QGR2",0,0,2.2,0.03,1.06,0.17,0,0,0.09,0.18,17.82,0,0,0,1.31,0,3.83,0,0,0.01,0.31,0,0.24,5.15,0.04,0.06,0,0,1.72,0,0.12,0,0.09,0.8,0.38,0,0.01,0,0.07,0.04,0.03,0.08,0.19,0,0.27,0.95,0.2,0.03,0.14,0.79,0.81,0,0,1.22,2.17,0.28,0,0.03,0.07,0.04,0.1,0,0,0.18,0.27,0.6,1.55,0.72,0,0,0,0,0.07,0.23,0.09,0.04,0.02,0,0.58,0.12,0,0.03,0.72,0.66,0.04,0,4.01,0.09,0.09,0.06,1.47,0.48,0,1.86,0.12,0.66,0.06,0.04,0,0
"4","GTEX-1128S-0008-SM-5Q5DP",0,0,0.02,0.08,0.76,0.22,0,0,0,0.01,5.83,0.02,0.17,0,3.14,0,5.64,0,0.03,0.06,0.28,0,0.25,5.79,0.45,0.08,0.09,0,2.47,0.06,0.37,0.01,0.23,1.5,0.01,0.06,0,0,0.32,0.16,0.34,0.69,0.37,0.05,0.05,1.56,0.27,0.14,0.15,2.7,0.2,0,0.02,0.34,1.56,0.62,0,0.2,0.16,0.05,0.35,0,0,1.35,0.42,0.76,0.13,0.52,0,0.18,0.12,0,0.18,0.14,0.75,0.15,0.46,0.06,1,0.2,0.11,0.11,0.89,0.49,0.06,0.5,2.33,0.18,0.43,0.02,5.64,0.91,0.03,4.72,0.22,0,0.09,0.16,0.02,0.02
"5","GTEX-113IC-0008-SM-5QGRF",0,0,0.64,0.12,0.46,0.24,0,0,0.15,0.02,15.08,0.03,0,0,1.79,0,3.74,0.05,0,0,0.65,0,0.29,5.57,0.08,0,0,0,0.96,0.01,0.41,0,0.08,1.92,0.03,0.16,0.01,0.02,0.31,0.04,0.02,0.26,0.86,0,0.43,0.19,0.1,0.06,0.12,2.46,0,0,0,0.12,1.92,0.44,0,0.6,0.03,0.07,0.18,0,0,1.1,0.27,0.11,0.47,0.19,0.14,0,0.23,0,0.23,0.81,0.15,0.06,0.13,0,0.48,0.27,0,0.05,3.06,0.22,0,0.7,2.24,0,0.86,0.04,2.92,0.83,0.01,4.58,0.5,0.03,0.05,0.07,0,0
"6","GTEX-113JC-0008-SM-5QGR6",0,0,0.03,0.13,0.42,0.06,0,0,0.1,0,10.32,0,0.01,0,1,0,2.82,0,0,0.02,0.21,0,0.29,5.75,0.12,0,0,0,3.98,0.01,0.29,0,0.18,1.19,0.05,0.08,0.02,0.04,0.22,0,0,0.09,0.13,0,0,0.34,0.06,0.12,0.07,0.57,0,0,0,0.11,8.34,0.59,0,0.02,0.03,0,0.1,0,0,0.31,0.2,0.27,0.74,0.21,0.26,0.12,0.06,0.06,0.06,0.51,0.07,0,0.12,0,0.31,0.05,0,0.05,3.73,0.08,0,0.68,2.68,0.16,0.1,0.07,2.63,1.03,0,3.92,0.27,0.96,0,0.04,0,0
"7","GTEX-117XS-0008-SM-5Q5DQ",0,0,0,0.08,3.84,0.15,0,0,0.16,0.02,6.38,0,0,0,3.05,0,6.6,0.07,0,0.01,0.38,0,0.23,5.64,0.12,0.15,0,0,1.58,0.01,0.28,0,0.07,1.26,0.03,0.08,0,0,0.09,0.13,0.04,0.06,0.27,0,0.19,0.26,0.14,0.17,0.09,1.97,0.1,0,0,0.77,5.15,0.48,0,0.53,0.07,0.04,0.3,0,0,1.48,0.13,0.35,0.34,0.51,0,0,0.12,0,0.09,0.5,0,0.12,0.21,0.03,0.72,5.41,0.12,0,0.77,0.31,0.02,1.01,2.23,0.12,0.16,0.05,0.22,1.26,0.02,0.39,0.2,0.04,0.05,0.13,0.11,0
"8","GTEX-117YW-0008-SM-5QGRD",0,0,0,0,0.75,0.07,0,0,0,0,3.06,0,0,0,1.48,0,4.81,0,0,0.06,0.12,0,0.22,5.09,0.14,0,0,0,2.01,0,0.45,0,0.16,1.84,0,0,0,0,0.05,0.12,0.1,0.06,0.12,0,0.21,0.2,0.15,0,0.11,1.39,0,0,0.04,0.5,2.49,0.48,0,0.39,0,0,0.35,0,0,0.83,0.3,0.27,0.24,0.65,0,0.92,0.21,0,0.34,0.68,0.36,0.04,0.13,0,0.49,1.67,0,0.06,1.79,0.15,0.01,0,2.1,0.09,0.08,0.02,4.68,0.94,0.16,2.83,0.25,0,0.1,0,0,0
"9","GTEX-1192W-0008-SM-5QGRE",0,0,1.89,0,1.32,0.06,0,0,0.16,0.01,16.01,0.02,0,0,1.94,0.02,4.65,0.05,0,0.01,0.23,0,0.4,5,0.41,0,0.06,0,1.58,0.01,0.07,0,0.33,0.95,0,0.17,0,0,0.11,0.08,0.12,0.59,0.24,0,0.14,1.1,0.28,0.05,0.03,5.68,0,0,0,0.26,5.61,0.68,0,0.47,0,0,0.03,0,0,1.36,0.04,0.5,0.3,0.18,0,0.67,0.07,0.02,0.21,0.44,0.28,0.17,0.23,0.04,0.44,0.12,0,0.45,1.19,0.81,0.01,0,2.59,0.18,0.05,0.02,0.35,1.76,0,2.33,0.19,0,0.1,0.12,0,0
"10","GTEX-1192X-0008-SM-5Q5B7",0,0,1.07,0.08,1.38,0.16,0,0.04,0.06,0.02,10.41,0.04,0,0,2.29,0.03,4.69,0,0,0.03,0.41,0,0.26,4.95,0.13,0,0.02,0,1.26,0.01,0.2,0.02,0.13,0.89,0.03,0.07,0.01,0.04,0.11,0.06,0.24,0.27,0.47,0,0.39,2.14,0.24,0.15,0.07,1.39,0.36,0,0.02,1,2.59,0.74,0,0.61,0.13,0.03,0.17,0,0,2,0.6,0.6,0.21,0.25,0,1.05,0.11,0,0.08,0.34,0.32,0.51,0.31,0.4,0.57,0.68,0.1,0.27,0.7,0.47,0,0,3.33,0.14,0.13,0.05,2.19,1.25,0.01,8.31,0.17,0,0.03,0.03,0.04,0.02
