File name	md5	FTP url	Assay	Description	Instrument	Cell line	Cell type	Biosample	Archive	Accession type	Accession	Archive url	Cell line growing conditions for this assay	Cell line passage number for this assay	Disease status	Sex	Assay description
HPSI0114i-bezi_1.GRCh37.75.cdna.kallisto.transcripts.abundance.rnaseq.20150415.tsv	7bf7dee6e08b61b899809fa063d83a82	ftp://ftp.sra.ebi.ac.uk/vol1/ERZ267/ERZ267062/	RNA-seq	Abundances of transcripts	Illumina HiSeq 2000	HPSI0114i-bezi_1	iPSC	SAMEA2518325	ENA	ANALYSIS_ID	ERZ267062	http://www.ebi.ac.uk/ena/data/view/ERZ267062	Feeder-free	29	Normal	female	INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550
HPSI0114i-bezi_3.GRCh37.75.cdna.kallisto.transcripts.abundance.rnaseq.20150415.tsv	739d8229f50a33516399922d01a33299	ftp://ftp.sra.ebi.ac.uk/vol1/ERZ267/ERZ267021/	RNA-seq	Abundances of transcripts	Illumina HiSeq 2000	HPSI0114i-bezi_3	iPSC	SAMEA2518324	ENA	ANALYSIS_ID	ERZ267021	http://www.ebi.ac.uk/ena/data/view/ERZ267021	Feeder-free	29	Normal	female	INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550
HPSI0114i-eipl_1.GRCh37.75.cdna.kallisto.transcripts.abundance.rnaseq.20150415.tsv	ad09fa66662c3244c7de0e04343d4890	ftp://ftp.sra.ebi.ac.uk/vol1/ERZ267/ERZ267057/	RNA-seq	Abundances of transcripts	Illumina HiSeq 2000	HPSI0114i-eipl_1	iPSC	SAMEA2536417	ENA	ANALYSIS_ID	ERZ267057	http://www.ebi.ac.uk/ena/data/view/ERZ267057	Feeder-free	33	Normal	female	INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550
HPSI0114i-eipl_3.GRCh37.75.cdna.kallisto.transcripts.abundance.rnaseq.20160125.tsv	3185384933bd6dd54a5b869336c751df	ftp://ftp.sra.ebi.ac.uk/vol1/ERZ266/ERZ266973/	RNA-seq	Abundances of transcripts	Illumina HiSeq 2000	HPSI0114i-eipl_3	iPSC	SAMEA2536405	ENA	ANALYSIS_ID	ERZ266973	http://www.ebi.ac.uk/ena/data/view/ERZ266973	Feeder-free	23	Normal	female	INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550
HPSI0114i-fikt_3.GRCh37.75.cdna.kallisto.transcripts.abundance.rnaseq.20150415.tsv	8670d1317e716c86a79d43127da79540	ftp://ftp.sra.ebi.ac.uk/vol1/ERZ267/ERZ267011/	RNA-seq	Abundances of transcripts	Illumina HiSeq 2000	HPSI0114i-fikt_3	iPSC	SAMEA2547619	ENA	ANALYSIS_ID	ERZ267011	http://www.ebi.ac.uk/ena/data/view/ERZ267011	Feeder-free	36	Normal	male	INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550
HPSI0114i-iisa_1.GRCh37.75.cdna.kallisto.transcripts.abundance.rnaseq.20160125.tsv	c18b3f2550911f824419bd43821a35e0	ftp://ftp.sra.ebi.ac.uk/vol1/ERZ267/ERZ267058/	RNA-seq	Abundances of transcripts	Illumina HiSeq 2000	HPSI0114i-iisa_1	iPSC	SAMEA2536412	ENA	ANALYSIS_ID	ERZ267058	http://www.ebi.ac.uk/ena/data/view/ERZ267058	Feeder-free	25	Normal	male	INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550
HPSI0114i-iisa_3.GRCh37.75.cdna.kallisto.transcripts.abundance.rnaseq.20150415.tsv	074f8ae8dce40713a7fe6a5019e3a7a4	ftp://ftp.sra.ebi.ac.uk/vol1/ERZ266/ERZ266984/	RNA-seq	Abundances of transcripts	Illumina HiSeq 2000	HPSI0114i-iisa_3	iPSC	SAMEA2536410	ENA	ANALYSIS_ID	ERZ266984	http://www.ebi.ac.uk/ena/data/view/ERZ266984	Feeder-free	24	Normal	male	INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550
HPSI0114i-joxm_1.GRCh37.75.cdna.kallisto.transcripts.abundance.rnaseq.20150415.tsv	8179067d627b68aeabad31dfc6932fce	ftp://ftp.sra.ebi.ac.uk/vol1/ERZ267/ERZ267013/	RNA-seq	Abundances of transcripts	Illumina HiSeq 2000	HPSI0114i-joxm_1	iPSC	SAMEA2547637	ENA	ANALYSIS_ID	ERZ267013	http://www.ebi.ac.uk/ena/data/view/ERZ267013	Feeder-free	31	Normal	female	INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550
HPSI0114i-kolf_2.GRCh37.75.cdna.kallisto.transcripts.abundance.rnaseq.20160125.tsv	9c1720abde32d061ecafdb2332d8d80e	ftp://ftp.sra.ebi.ac.uk/vol1/ERZ266/ERZ266990/	RNA-seq	Abundances of transcripts	Illumina HiSeq 2000	HPSI0114i-kolf_2	iPSC	SAMEA2547615	ENA	ANALYSIS_ID	ERZ266990	http://www.ebi.ac.uk/ena/data/view/ERZ266990	Feeder-free	18	Normal	male	INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550
HPSI0114i-kolf_3.GRCh37.75.cdna.kallisto.transcripts.abundance.rnaseq.20150415.tsv	7f1b1f04e6b8e257a187290ead4f1c8e	ftp://ftp.sra.ebi.ac.uk/vol1/ERZ266/ERZ266981/	RNA-seq	Abundances of transcripts	Illumina HiSeq 2000	HPSI0114i-kolf_3	iPSC	SAMEA2547644	ENA	ANALYSIS_ID	ERZ266981	http://www.ebi.ac.uk/ena/data/view/ERZ266981	Feeder-free	28	Normal	male	INSTRUMENT_PLATFORM=ILLUMINA,INSTRUMENT_MODEL=Illumina HiSeq 2000,LIBRARY_LAYOUT=PAIRED,LIBRARY_STRATEGY=RNA-Seq,LIBRARY_SOURCE=TRANSCRIPTOMIC,LIBRARY_SELECTION=cDNA,PAIRED_NOMINAL_LENGTH=550
