,HMGA1,LIN28A,TERF1,ZFP42,ZSCAN10,HMGA2,SALL4,OTX2,ETV4,NR6A1,LIN28B,HES3,ZIC3,NANOG,ZNF93,FOXH1,MYCN,ZNF730,PRDM14,SOX11,label
633,140.3,0.0,11.37,0.07,0.05,0.05,1.09,0.0,4.77,2.04,0.0,0.0,0.0,0.02,1.88,0.24,6.26,0.09,0.0,0.02,0
529,58.67,0.05,5.38,0.0,0.01,0.43,0.17,0.0,3.57,9.25,0.0,0.0,0.0,0.02,0.42,1.26,0.72,0.0,0.01,0.01,0
43,1886.56,903.25,780.58,140.66,94.96,123.55,80.89999999999998,106.01000000000002,77.28,65.07,68.71,66.02,63.85,49.55,62.75,50.0,59.5,53.16,36.51,35.73,1
193,1787.58,890.74,895.24,134.93,114.83,99.69,88.14999999999998,60.13,83.39999999999998,72.58000000000001,84.19,71.44,153.3,75.56000000000002,53.26,67.52,58.93,30.61,45.8,25.98,1
176,1571.65,654.7,700.1500000000002,115.96,153.36,125.43,66.66,8.87,178.51,55.95,89.78,49.42,51.41,271.87,72.10000000000002,74.58,37.23,56.73,24.91,38.04,1
625,76.15,0.02,17.89,0.0,0.0,0.02,1.11,0.0,2.8,4.4,0.0,0.0,0.0,0.03,5.12,1.41,2.0,0.4,0.0,0.01,0
38,1697.84,573.26,309.37,85.44,167.77999999999997,88.88999999999999,70.52,115.61,81.42999999999998,76.27000000000002,58.98,97.56,80.48,47.54,1.5699999999999998,61.26000000000001,55.91,35.160000000000004,21.83,23.33,1
487,29.1,0.0,6.75,0.15,0.0,0.06,0.27,0.0,1.32,1.87,0.0,0.0,0.0,0.0,0.6,0.1,0.48,0.06,0.0,0.01,0
473,11.47,0.0,34.45,0.0,0.01,0.02,0.05,0.03,0.62,0.27,0.0,0.0,0.04,0.0,0.73,0.05,0.16,0.03,0.0,0.01,0
368,49.32,0.06,15.7,0.0,0.13,0.01,0.08,0.06,0.95,1.96,0.42,0.07,1.34,0.0,1.12,0.31,2.92,0.68,0.0,2.88,0
330,15.89,0.0,4.71,0.0,0.01,0.08,2.36,0.02,3.63,2.36,0.0,0.0,0.0,0.01,0.68,0.1,0.0,0.04,0.01,0.0,0
220,1731.95,606.6,518.09,100.72,112.93,108.06,67.39,48.59,85.16,59.10000000000001,61.03,68.36,39.43,81.41,57.89,56.15,40.28,34.46,25.22,13.43,1
213,1340.1599999999996,687.05,543.59,112.2,138.64,119.18999999999998,63.32,33.33,131.3,65.15,88.05,107.5,71.84,116.6,44.18,73.73,38.18,42.28,42.99,36.34,1
103,1600.28,1053.3,551.76,117.24,101.25,116.13,101.89,214.63,52.06999999999999,60.85,87.58,152.97,126.38,35.61000000000001,58.1,74.47,51.45,43.58,30.32,48.54,1
126,1604.72,805.12,606.71,128.05,147.42999999999995,122.54000000000002,93.04,49.13,82.92000000000002,80.41000000000003,83.34,59.35,77.69,65.35,59.75,44.09,63.56,39.38,24.41,23.26,1
272,1578.58,849.1700000000002,765.5400000000002,47.5,122.28000000000002,116.48,82.23999999999998,68.22,79.67999999999998,92.06000000000002,74.63,44.2,66.74000000000001,43.13,56.84,52.75,47.24,49.0,25.790000000000006,19.2,1
1,1512.42,719.11,548.0699999999998,120.5,124.65,101.83,61.60999999999999,23.39,160.5,46.59,98.49,87.72,74.2,294.24,62.64,103.33,42.43,39.74,34.90000000000001,38.46,1
116,1558.89,854.1400000000001,703.05,109.48,123.49,120.69,88.24999999999999,94.03999999999998,68.85,83.42,81.68,69.2,56.67,37.9,55.87000000000001,50.94,60.34,46.03,21.34,32.26,1
304,1594.1899999999996,866.9,572.9400000000003,128.18,90.5,120.47999999999998,79.17,94.02000000000002,78.1,75.4,75.19,43.91,52.23,77.00000000000001,58.86,49.98,51.1,31.06,28.28,34.43,1
462,17.73,0.0,14.27,0.0,0.02,0.02,0.15,0.04,0.06,0.81,0.02,0.0,1.14,0.01,0.7,0.05,5.11,0.24,0.0,1.08,0
247,1888.59,801.5999999999998,544.3100000000002,104.51,162.39,110.36,82.25,87.84,76.97,81.57000000000002,68.1,104.9,64.06,34.660000000000004,46.42999999999999,67.31,63.52,34.48,25.73,30.77,1
218,1638.77,848.9300000000002,954.18,138.96,150.37000000000003,113.32,93.99,65.00999999999999,79.49,107.58,96.21,55.99,81.46000000000002,59.92,76.62,49.84,56.4,54.16,21.26,26.86,1
223,1729.67,986.25,774.9499999999998,139.33,118.66,108.86,115.76000000000002,137.29999999999998,58.16,85.21000000000002,93.65,112.78,81.41,52.90000000000001,75.88,69.21,69.71,56.2,52.13,35.78,1
643,50.0,0.03,37.78,0.03,0.02,1.41,0.83,0.0,9.0,4.49,0.0,0.0,0.0,0.09,0.48,0.28,13.38,0.13,0.0,0.01,0
227,1763.6799999999996,986.0,695.47,155.29000000000005,126.36,112.45000000000002,135.86999999999998,206.39,61.47,97.91,99.15,134.01,132.94,60.03,78.25999999999998,71.85,65.62,52.66,46.98,49.8,1
480,19.2,0.13,14.67,0.02,0.38,0.08,0.03,0.0,3.81,0.89,0.0,0.0,0.03,0.08,0.8,0.38,0.27,0.1,0.0,0.23,0
606,266.5,15.66,17.34,5.54,0.57,1.83,8.74,0.92,1.71,56.54,4.76,1.14,0.84,0.31,3.13,2.86,7.98,3.4,1.79,0.22,0
49,1669.53,935.98,958.37,157.64,133.97,142.70000000000005,82.03,82.36999999999998,84.35000000000002,112.81,86.74,60.56,58.85,72.02,68.7,49.15,70.49,40.84,27.26,32.88,1
415,210.1,9.7,19.05,3.95,0.32,0.83,9.13,0.71,1.18,43.06,4.9,0.25,0.59,0.27,3.07,1.39,9.85,4.32,1.4,0.14,0
57,1701.01,593.8,478.09,95.64,123.86,62.76999999999999,68.03,20.110000000000007,104.59,82.16,42.43,40.83,19.94,90.52,61.53,57.44,52.03,33.89,19.790000000000006,11.27,1
657,76.73,0.03,6.81,0.0,0.11,0.01,0.02,0.0,0.06,0.7,0.0,0.0,0.0,0.0,0.39,0.02,0.03,0.0,0.03,0.0,0
123,1641.28,628.56,586.99,121.64,108.24,70.97000000000001,48.57,28.81,76.66,68.47999999999999,52.92,14.85,20.6,74.81,62.16,39.89,45.55,27.21,19.26,12.02,1
612,720.0,0.09,22.97,0.12,0.05,12.25,0.0,0.0,52.96,0.42,0.02,0.0,0.0,0.0,0.9,0.48,0.04,0.15,0.02,0.38,0
678,39.36,0.03,16.87,0.0,0.1,0.06,0.27,0.04,3.06,3.74,0.0,0.08,0.01,0.01,1.28,0.24,3.4,0.22,0.0,0.03,0
684,58.36,0.0,39.5,0.0,0.07,0.73,0.23,0.0,16.14,2.6,0.01,0.0,0.0,0.0,1.31,0.12,8.81,0.17,0.02,0.03,0
472,37.24,0.01,19.58,0.0,0.02,0.01,0.11,0.86,0.41,0.66,0.05,0.0,0.57,0.02,0.85,0.1,3.31,0.17,0.0,1.89,0
41,1625.93,1011.1,505.53,125.23,106.29999999999998,130.44,89.9,120.22,78.93,96.35,91.31,73.54,52.97,66.91,67.78,61.54,54.22,43.33,30.18,51.45,1
642,8.91,0.0,6.08,0.03,0.04,0.0,0.4,0.0,0.35,1.94,0.0,0.0,0.0,0.01,0.03,0.09,0.12,0.0,0.08,0.0,0
35,1383.25,754.81,274.55,167.76,51.43000000000001,44.87,71.06,255.28000000000003,20.47,33.17,40.13,86.01,55.63,40.84,59.97,57.65,37.71,25.28,28.9,7.43,1
5,1851.83,650.6,455.5100000000001,126.18,201.4,109.15,61.790000000000006,15.98,198.71,47.62000000000001,61.7,119.38,61.58,201.97,48.1,94.03,35.58,29.6,54.27,29.36,1
426,21.78,0.0,19.55,0.0,0.08,0.01,0.5,0.38,0.53,1.15,0.03,0.11,2.46,0.0,1.19,0.05,5.04,0.15,0.0,1.03,0
132,1641.37,705.11,847.1800000000002,136.37,125.55,90.97,73.95,94.15,52.58000000000001,45.38,48.18,61.45,61.9,87.76,61.28999999999999,64.39,40.34,35.8,35.03,21.58,1
558,58.05,0.0,13.04,0.08,0.09,0.01,0.17,0.0,3.78,4.85,0.0,0.0,0.0,0.0,1.69,1.37,0.71,0.66,0.01,0.27,0
293,1581.61,670.67,565.53,102.23,118.9,82.42,84.36000000000001,77.31,55.17999999999999,98.73,58.48,43.25,33.55,69.35,56.19,82.18,47.32,44.74999999999999,32.03,19.67,1
85,1707.87,957.51,1078.4500000000003,154.65,114.19,94.28,95.90000000000002,156.40999999999997,44.38,65.45,93.15,54.53,100.56,58.61,64.69,94.58,51.62,36.27,56.21,31.64,1
268,1784.76,935.4,664.4799999999998,116.29,102.3,144.60000000000005,136.03,210.61,34.17,125.51,103.75,89.29,70.11,50.13,58.25,47.36,55.48,39.34,40.82,53.85,1
542,30.25,0.0,5.22,0.0,0.03,0.0,0.02,0.01,0.05,0.38,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0
664,570.4,0.03,9.74,0.0,0.07,0.0,0.01,0.0,11.25,3.24,0.0,0.0,0.0,0.01,3.2,0.04,0.0,0.05,0.03,0.02,0
